17/03/23 05:04:04 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/23 05:04:05 INFO client.RMProxy: Connecting to ResourceManager at cluster-one-m/10.138.0.5:8032
17/03/23 05:04:06 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/23 05:04:08 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/03/23 05:04:09 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/03/23 05:04:10 INFO input.FileInputFormat: Total input paths to process : 3035
17/03/23 05:04:10 INFO mapreduce.JobSubmitter: number of splits:3035
17/03/23 05:04:11 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490244301857_0005
17/03/23 05:04:11 INFO impl.YarnClientImpl: Submitted application application_1490244301857_0005
17/03/23 05:04:11 INFO mapreduce.Job: The url to track the job: http://cluster-one-m:8088/proxy/application_1490244301857_0005/
17/03/23 05:04:11 INFO mapreduce.Job: Running job: job_1490244301857_0005
17/03/23 05:04:20 INFO mapreduce.Job: Job job_1490244301857_0005 running in uber mode : false
17/03/23 05:04:20 INFO mapreduce.Job:  map 0% reduce 0%
17/03/23 05:04:55 INFO mapreduce.Job:  map 1% reduce 0%
17/03/23 05:05:37 INFO mapreduce.Job:  map 2% reduce 0%
17/03/23 05:06:13 INFO mapreduce.Job:  map 3% reduce 0%
17/03/23 05:06:54 INFO mapreduce.Job:  map 4% reduce 0%
17/03/23 05:07:30 INFO mapreduce.Job:  map 5% reduce 0%
17/03/23 05:08:07 INFO mapreduce.Job:  map 6% reduce 0%
17/03/23 05:08:47 INFO mapreduce.Job:  map 7% reduce 0%
17/03/23 05:09:19 INFO mapreduce.Job:  map 8% reduce 0%
17/03/23 05:10:00 INFO mapreduce.Job:  map 9% reduce 0%
17/03/23 05:10:36 INFO mapreduce.Job:  map 10% reduce 0%
17/03/23 05:11:13 INFO mapreduce.Job:  map 11% reduce 0%
17/03/23 05:11:47 INFO mapreduce.Job:  map 12% reduce 0%
17/03/23 05:12:23 INFO mapreduce.Job:  map 13% reduce 0%
17/03/23 05:12:57 INFO mapreduce.Job:  map 14% reduce 0%
17/03/23 05:13:33 INFO mapreduce.Job:  map 15% reduce 0%
17/03/23 05:14:09 INFO mapreduce.Job:  map 16% reduce 0%
17/03/23 05:14:42 INFO mapreduce.Job:  map 17% reduce 0%
17/03/23 05:15:17 INFO mapreduce.Job:  map 18% reduce 0%
17/03/23 05:15:54 INFO mapreduce.Job:  map 19% reduce 0%
17/03/23 05:16:27 INFO mapreduce.Job:  map 20% reduce 0%
17/03/23 05:16:59 INFO mapreduce.Job:  map 20% reduce 1%
17/03/23 05:17:03 INFO mapreduce.Job:  map 21% reduce 1%
17/03/23 05:17:40 INFO mapreduce.Job:  map 22% reduce 1%
17/03/23 05:18:14 INFO mapreduce.Job:  map 23% reduce 1%
17/03/23 05:18:52 INFO mapreduce.Job:  map 24% reduce 1%
17/03/23 05:19:28 INFO mapreduce.Job:  map 25% reduce 1%
17/03/23 05:20:02 INFO mapreduce.Job:  map 26% reduce 1%
17/03/23 05:20:37 INFO mapreduce.Job:  map 27% reduce 1%
17/03/23 05:21:11 INFO mapreduce.Job:  map 28% reduce 1%
17/03/23 05:21:46 INFO mapreduce.Job:  map 29% reduce 1%
17/03/23 05:22:23 INFO mapreduce.Job:  map 30% reduce 1%
17/03/23 05:22:58 INFO mapreduce.Job:  map 31% reduce 1%
17/03/23 05:23:33 INFO mapreduce.Job:  map 32% reduce 1%
17/03/23 05:24:08 INFO mapreduce.Job:  map 33% reduce 1%
17/03/23 05:24:43 INFO mapreduce.Job:  map 34% reduce 1%
17/03/23 05:25:19 INFO mapreduce.Job:  map 35% reduce 1%
17/03/23 05:25:52 INFO mapreduce.Job:  map 36% reduce 1%
17/03/23 05:26:26 INFO mapreduce.Job:  map 37% reduce 1%
17/03/23 05:27:02 INFO mapreduce.Job:  map 38% reduce 1%
17/03/23 05:27:38 INFO mapreduce.Job:  map 39% reduce 1%
17/03/23 05:28:12 INFO mapreduce.Job:  map 40% reduce 1%
17/03/23 05:28:44 INFO mapreduce.Job:  map 40% reduce 2%
17/03/23 05:28:52 INFO mapreduce.Job:  map 41% reduce 2%
17/03/23 05:29:38 INFO mapreduce.Job:  map 42% reduce 2%
17/03/23 05:30:29 INFO mapreduce.Job:  map 43% reduce 2%
17/03/23 05:31:21 INFO mapreduce.Job:  map 44% reduce 2%
17/03/23 05:32:12 INFO mapreduce.Job:  map 45% reduce 2%
17/03/23 05:32:38 INFO mapreduce.Job:  map 45% reduce 3%
17/03/23 05:33:02 INFO mapreduce.Job:  map 46% reduce 3%
17/03/23 05:33:52 INFO mapreduce.Job:  map 47% reduce 3%
17/03/23 05:34:40 INFO mapreduce.Job:  map 48% reduce 3%
17/03/23 05:35:33 INFO mapreduce.Job:  map 49% reduce 3%
17/03/23 05:36:24 INFO mapreduce.Job:  map 50% reduce 3%
17/03/23 05:37:14 INFO mapreduce.Job:  map 51% reduce 3%
17/03/23 05:38:03 INFO mapreduce.Job:  map 52% reduce 3%
17/03/23 05:38:54 INFO mapreduce.Job:  map 53% reduce 3%
17/03/23 05:39:44 INFO mapreduce.Job:  map 54% reduce 3%
17/03/23 05:40:34 INFO mapreduce.Job:  map 55% reduce 3%
17/03/23 05:41:23 INFO mapreduce.Job:  map 56% reduce 3%
17/03/23 05:42:11 INFO mapreduce.Job:  map 57% reduce 3%
17/03/23 05:43:04 INFO mapreduce.Job:  map 58% reduce 3%
17/03/23 05:43:53 INFO mapreduce.Job:  map 59% reduce 3%
17/03/23 05:44:41 INFO mapreduce.Job:  map 60% reduce 3%
17/03/23 05:45:30 INFO mapreduce.Job:  map 61% reduce 3%
17/03/23 05:46:18 INFO mapreduce.Job:  map 62% reduce 3%
17/03/23 05:47:07 INFO mapreduce.Job:  map 63% reduce 3%
17/03/23 05:47:34 INFO mapreduce.Job:  map 63% reduce 4%
17/03/23 05:47:58 INFO mapreduce.Job:  map 64% reduce 4%
17/03/23 05:48:44 INFO mapreduce.Job:  map 65% reduce 4%
17/03/23 05:49:32 INFO mapreduce.Job:  map 66% reduce 4%
17/03/23 05:50:21 INFO mapreduce.Job:  map 67% reduce 4%
17/03/23 05:51:06 INFO mapreduce.Job:  map 68% reduce 4%
17/03/23 05:51:51 INFO mapreduce.Job:  map 69% reduce 4%
17/03/23 05:52:38 INFO mapreduce.Job:  map 70% reduce 4%
17/03/23 05:53:23 INFO mapreduce.Job:  map 71% reduce 4%
17/03/23 05:54:07 INFO mapreduce.Job:  map 72% reduce 4%
17/03/23 05:54:52 INFO mapreduce.Job:  map 73% reduce 4%
17/03/23 05:55:37 INFO mapreduce.Job:  map 74% reduce 4%
17/03/23 05:56:24 INFO mapreduce.Job:  map 75% reduce 4%
17/03/23 05:57:08 INFO mapreduce.Job:  map 76% reduce 4%
17/03/23 05:57:52 INFO mapreduce.Job:  map 77% reduce 4%
17/03/23 05:58:36 INFO mapreduce.Job:  map 78% reduce 4%
17/03/23 05:59:20 INFO mapreduce.Job:  map 79% reduce 4%
17/03/23 06:00:03 INFO mapreduce.Job:  map 80% reduce 4%
17/03/23 06:00:48 INFO mapreduce.Job:  map 81% reduce 4%
17/03/23 06:01:14 INFO mapreduce.Job:  map 81% reduce 5%
17/03/23 06:01:33 INFO mapreduce.Job:  map 82% reduce 5%
17/03/23 06:02:15 INFO mapreduce.Job:  map 83% reduce 5%
17/03/23 06:03:00 INFO mapreduce.Job:  map 84% reduce 5%
17/03/23 06:03:42 INFO mapreduce.Job:  map 85% reduce 5%
17/03/23 06:04:24 INFO mapreduce.Job:  map 86% reduce 5%
17/03/23 06:05:09 INFO mapreduce.Job:  map 87% reduce 5%
17/03/23 06:05:49 INFO mapreduce.Job:  map 88% reduce 5%
17/03/23 06:06:32 INFO mapreduce.Job:  map 89% reduce 5%
17/03/23 06:07:16 INFO mapreduce.Job:  map 90% reduce 5%
17/03/23 06:07:59 INFO mapreduce.Job:  map 91% reduce 5%
17/03/23 06:08:42 INFO mapreduce.Job:  map 92% reduce 5%
17/03/23 06:09:21 INFO mapreduce.Job:  map 93% reduce 5%
17/03/23 06:10:02 INFO mapreduce.Job:  map 94% reduce 5%
17/03/23 06:10:46 INFO mapreduce.Job:  map 95% reduce 5%
17/03/23 06:11:26 INFO mapreduce.Job:  map 96% reduce 5%
17/03/23 06:12:07 INFO mapreduce.Job:  map 97% reduce 5%
17/03/23 06:12:50 INFO mapreduce.Job:  map 98% reduce 5%
17/03/23 06:13:30 INFO mapreduce.Job:  map 99% reduce 5%
17/03/23 06:13:51 INFO mapreduce.Job:  map 99% reduce 6%
17/03/23 06:14:09 INFO mapreduce.Job:  map 100% reduce 6%
17/03/23 06:14:30 INFO mapreduce.Job:  map 100% reduce 8%
17/03/23 06:14:33 INFO mapreduce.Job:  map 100% reduce 9%
17/03/23 06:14:35 INFO mapreduce.Job:  map 100% reduce 16%
17/03/23 06:14:36 INFO mapreduce.Job:  map 100% reduce 17%
17/03/23 06:14:38 INFO mapreduce.Job:  map 100% reduce 22%
17/03/23 06:14:39 INFO mapreduce.Job:  map 100% reduce 23%
17/03/23 06:14:41 INFO mapreduce.Job:  map 100% reduce 25%
17/03/23 06:14:42 INFO mapreduce.Job:  map 100% reduce 26%
17/03/23 06:14:44 INFO mapreduce.Job:  map 100% reduce 27%
17/03/23 06:14:45 INFO mapreduce.Job:  map 100% reduce 28%
17/03/23 06:14:47 INFO mapreduce.Job:  map 100% reduce 30%
17/03/23 06:14:50 INFO mapreduce.Job:  map 100% reduce 31%
17/03/23 06:14:51 INFO mapreduce.Job:  map 100% reduce 32%
17/03/23 06:14:53 INFO mapreduce.Job:  map 100% reduce 33%
17/03/23 06:14:56 INFO mapreduce.Job:  map 100% reduce 35%
17/03/23 06:14:59 INFO mapreduce.Job:  map 100% reduce 36%
17/03/23 06:15:00 INFO mapreduce.Job:  map 100% reduce 39%
17/03/23 06:15:02 INFO mapreduce.Job:  map 100% reduce 40%
17/03/23 06:15:03 INFO mapreduce.Job:  map 100% reduce 41%
17/03/23 06:15:06 INFO mapreduce.Job:  map 100% reduce 42%
17/03/23 06:15:08 INFO mapreduce.Job:  map 100% reduce 43%
17/03/23 06:15:09 INFO mapreduce.Job:  map 100% reduce 44%
17/03/23 06:15:12 INFO mapreduce.Job:  map 100% reduce 45%
17/03/23 06:15:14 INFO mapreduce.Job:  map 100% reduce 52%
17/03/23 06:15:15 INFO mapreduce.Job:  map 100% reduce 53%
17/03/23 06:15:17 INFO mapreduce.Job:  map 100% reduce 55%
17/03/23 06:15:18 INFO mapreduce.Job:  map 100% reduce 56%
17/03/23 06:15:20 INFO mapreduce.Job:  map 100% reduce 57%
17/03/23 06:15:21 INFO mapreduce.Job:  map 100% reduce 58%
17/03/23 06:15:23 INFO mapreduce.Job:  map 100% reduce 59%
17/03/23 06:15:24 INFO mapreduce.Job:  map 100% reduce 60%
17/03/23 06:15:26 INFO mapreduce.Job:  map 100% reduce 61%
17/03/23 06:15:29 INFO mapreduce.Job:  map 100% reduce 62%
17/03/23 06:15:31 INFO mapreduce.Job:  map 100% reduce 65%
17/03/23 06:15:32 INFO mapreduce.Job:  map 100% reduce 66%
17/03/23 06:15:34 INFO mapreduce.Job:  map 100% reduce 67%
17/03/23 06:15:35 INFO mapreduce.Job:  map 100% reduce 72%
17/03/23 06:15:37 INFO mapreduce.Job:  map 100% reduce 73%
17/03/23 06:15:38 INFO mapreduce.Job:  map 100% reduce 75%
17/03/23 06:15:40 INFO mapreduce.Job:  map 100% reduce 76%
17/03/23 06:15:41 INFO mapreduce.Job:  map 100% reduce 77%
17/03/23 06:15:43 INFO mapreduce.Job:  map 100% reduce 78%
17/03/23 06:15:44 INFO mapreduce.Job:  map 100% reduce 79%
17/03/23 06:15:47 INFO mapreduce.Job:  map 100% reduce 80%
17/03/23 06:15:50 INFO mapreduce.Job:  map 100% reduce 84%
17/03/23 06:15:52 INFO mapreduce.Job:  map 100% reduce 88%
17/03/23 06:15:53 INFO mapreduce.Job:  map 100% reduce 89%
17/03/23 06:15:55 INFO mapreduce.Job:  map 100% reduce 90%
17/03/23 06:15:56 INFO mapreduce.Job:  map 100% reduce 91%
17/03/23 06:15:58 INFO mapreduce.Job:  map 100% reduce 92%
17/03/23 06:15:59 INFO mapreduce.Job:  map 100% reduce 93%
17/03/23 06:16:02 INFO mapreduce.Job:  map 100% reduce 94%
17/03/23 06:16:05 INFO mapreduce.Job:  map 100% reduce 95%
17/03/23 06:16:07 INFO mapreduce.Job:  map 100% reduce 96%
17/03/23 06:16:08 INFO mapreduce.Job:  map 100% reduce 97%
17/03/23 06:16:11 INFO mapreduce.Job:  map 100% reduce 98%
17/03/23 06:16:14 INFO mapreduce.Job:  map 100% reduce 99%
17/03/23 06:16:17 INFO mapreduce.Job:  map 100% reduce 100%
17/03/23 06:16:23 INFO mapreduce.Job: Job job_1490244301857_0005 completed successfully
17/03/23 06:16:24 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3420439301
		FILE: Number of bytes written=7221068213
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=234677161
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427608
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=3035
		Launched reduce tasks=13
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=83076273
		Total time spent by all reduces in occupied slots (ms)=40437282
		Total time spent by all map tasks (ms)=27692091
		Total time spent by all reduce tasks (ms)=6739547
		Total vcore-milliseconds taken by all map tasks=27692091
		Total vcore-milliseconds taken by all reduce tasks=13479094
		Total megabyte-milliseconds taken by all map tasks=85070103552
		Total megabyte-milliseconds taken by all reduce tasks=41407776768
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420657749
		Input split bytes=427608
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420657749
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =36420
		Failed Shuffles=0
		Merged Map outputs=36420
		GC time elapsed (ms)=489804
		CPU time spent (ms)=11005490
		Physical memory (bytes) snapshot=1173854339072
		Virtual memory (bytes) snapshot=13424149053440
		Total committed heap usage (bytes)=1067809505280
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=234677161
Job output is complete
